threshold,coverage,precision,n_routed
0.382,0.9851143842055782,0.8151741689199936,6287
0.384,0.9844876214352868,0.8152156613082923,6283
0.386,0.9837041679724224,0.8155463523415101,6278
0.388,0.9827640238169852,0.8161670918367347,6272
0.39,0.9824506424318395,0.816267942583732,6270
0.392,0.981980570354121,0.8163395564065741,6267
0.394,0.9816671889689752,0.816440542697526,6265
0.396,0.980883735506111,0.8164536741214058,6260
0.398,0.9799435913506738,0.816917173009274,6254
0.4,0.9793168285803823,0.8168,6250
0.402,0.9790034471952366,0.8169014084507042,6248
0.404,0.9783766844249452,0.8171044202434337,6244
0.406,0.9771231588843623,0.8175112251443233,6236
0.408,0.9761830147289251,0.8179775280898877,6230
0.41,0.9755562519586336,0.8181818181818182,6226
0.412,0.9752428705734879,0.8181233933161953,6224
0.414,0.9741460357254779,0.8187228566832878,6217
0.416,0.972892510184895,0.8191335158640682,6209
0.418,0.9721090567220307,0.819471308833011,6204
0.42,0.970698840488875,0.8200161420500404,6195
0.422,0.9700720777185835,0.8198998546276853,6191
0.424,0.9686618614854278,0.82012293756066,6182
0.426,0.9681917894077092,0.8203592814371258,6179
0.428,0.9669382638671263,0.8202884459568952,6171
0.43,0.9658414290191163,0.8205710577547047,6164
0.432,0.9642745220933876,0.8210919727006825,6154
0.434,0.9628643058602319,0.8218063466232709,6145
0.436,0.9617674710122218,0.8224177256435321,6138
0.438,0.9605139454716389,0.8228384991843393,6130
0.44,0.9595738013162018,0.8229915088177662,6124
0.442,0.9586336571607647,0.8233082706766918,6118
0.444,0.9578502036979003,0.8233273351873057,6113
0.446,0.9562832967721717,0.8238571194494511,6103
0.448,0.9550297712315888,0.8242821985233798,6095
0.45,0.9545596991538703,0.8243598161523309,6092
0.452,0.9531494829207146,0.8249219135295085,6083
0.454,0.9523660294578502,0.8251069430733794,6078
0.456,0.9507991225321216,0.8256427158866183,6068
0.458,0.9498589783766844,0.825635103926097,6062
0.46,0.9486054528361015,0.8259002312520648,6054
0.462,0.9473519272955186,0.8260006615944426,6046
0.464,0.947038545910373,0.8261085373924554,6044
0.466,0.9451582575994986,0.8265915119363395,6032
0.468,0.9445314948292072,0.8268082282680823,6028
0.47,0.9431212785960514,0.827047682339259,6019
0.472,0.9413976809777499,0.8277296937416777,6008
0.474,0.9399874647445942,0.8279713285547591,5999
0.476,0.9373237229708555,0.8288197927114678,5982
0.478,0.9352867439674083,0.8292846372926789,5969
0.48,0.9330930742713883,0.8297229219143577,5955
0.482,0.9318395487308054,0.8301664704893224,5947
0.484,0.929959260419931,0.8308340353833193,5935
0.486,0.9280789721090568,0.8320108053351343,5923
0.488,0.9263553744907552,0.8323748308525034,5912
